"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Bronco",4,0.683218383581138,2.41963295866644,10,16,3,1,11,12,6,3,1,17,41,0,2,1,NA,NA,40000,NA,NA,NA,NA,60000,23,NA,1,2,3,3,3,3,2,2,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,3,1,2
"Mustang Mach-E",2,-4.9813517446908,0.87246898346118,12,16,4,1,NA,13,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",4,2.57811636652576,1.29783676213831,9,12,2,1,NA,20,NA,NA,NA,NA,32,NA,NA,NA,70,NA,NA,NA,NA,60,NA,64000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,3.49928110658051,0.873205706229767,6,16,1,1,NA,23,NA,NA,NA,NA,34,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",4,0.255417092877859,2.07533100867445,11,16,4,1,NA,32,NA,NA,NA,NA,37,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,3.93597613207937,-0.420427320770618,7,15,1,2,4,14,2,1,1,12,26,1,2,1,42,30000,2500,352,NA,NA,1,52500,81,NA,23,2,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
"Bronco",4,2.8604689110612,0.0599507152142811,7,13,1,2,11,10,5,2,1,4,31,0,1,1,57,9000,8000,652,NA,6,1,43000,49,NA,1,2,4,4,4,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,1,4,4,3
"Bronco",2,-5.64722540829743,1.75353442018884,11,15,4,1,NA,28,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,65000,92,NA,NA,2,2,4,4,4,2,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,4,3,1,2
"Mustang Mach-E",2,-5.78993715729025,0.736340241468964,3,13,6,1,3,27,7,2,3,23,4,1,2,2,NA,NA,NA,749,36,NA,2,NA,12,NA,10,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
"Bronco",4,1.7046985488644,1.63591880864182,10,16,3,1,5,28,6,3,1,22,5,0,1,1,61,25000,6000,1535,NA,60,1,92000,12,NA,10,2,4,3,4,4,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,4,3,2,2
"Mustang Mach-E",4,3.09055360007832,1.7760598262206,9,16,2,2,6,16,5,1,1,22,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,45000,41,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,3,4,5,4,4,5,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",4,3.61435452484936,0.445451740799721,13,13,4,1,NA,20,NA,NA,NA,NA,9,NA,NA,2,NA,NA,NA,475,36,NA,1,NA,1,NA,7,2,3,2,3,3,2,2,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,2,3,4,3
"Bronco",4,2.62754650831496,0.301579095707432,8,12,2,1,4,27,7,3,4,17,4,1,2,1,79,2000,2000,1200,NA,NA,2,62000,23,NA,10,2,3,4,3,3,3,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,3,2,4,3
